,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,1.0E+00,1.0E+00,2.0E+00,4.0E+00,7.0E+00,1.3E+01,2.4E+01,4.4E+01,8.1E+01,1.5E+02,2.7E+02,5.0E+02,9.3E+02,1.7E+03,3.1E+03,5.8E+03,1.1E+04,2.0E+04,3.6E+04,6.6E+04,1.2E+05,2.2E+05,4.1E+05,7.6E+05,1.4E+06,2.6E+06,4.7E+06,8.6E+06,1.6E+07,2.9E+07,5.4E+07,9.9E+07,1.8E+08,3.3E+08,6.2E+08,1.1E+09,2.1E+09,3.8E+09,7.0E+09,1.3E+10,2.4E+10,4.4E+10,8.1E+10,1.5E+11,2.7E+11,5.0E+11,9.2E+11,1.7E+12,3.1E+12,5.7E+12,1.1E+13,1.9E+13,3.6E+13,6.6E+13,1.2E+14,2.2E+14,4.1E+14,7.5E+14,1.4E+15,2.5E+15,4.7E+15,8.6E+15,1.6E+16,2.9E+16,5.4E+16,9.9E+16,1.8E+17,3.3E+17,6.1E+17,1.1E+18,2.1E+18,3.8E+18,7.0E+18,1.3E+19,2.4E+19,4.4E+19,8.0E+19,1.5E+20,2.7E+20,5.0E+20,9.2E+20,1.7E+21,3.1E+21,5.7E+21,1.1E+22,1.9E+22,3.6E+22,6.5E+22,1.2E+23,2.2E+23,4.1E+23,7.5E+23,1.4E+24,2.5E+24,4.7E+24,8.6E+24,1.6E+25,2.9E+25,5.3E+25,9.8E+25,1.8E+26,3.3E+26,6.1E+26,1.1E+27,2.1E+27,3.8E+27,7.0E+27,1.3E+28,2.4E+28,4.3E+28,8.0E+28,1.5E+29,2.7E+29,5.0E+29,9.1E+29,1.7E+30,3.1E+30,5.7E+30,1.0E+31,1.9E+31
1,1.0E+00,2.0E+00,5.0E+00,1.2E+01,2.6E+01,5.6E+01,1.2E+02,2.4E+02,5.0E+02,1.0E+03,2.0E+03,4.0E+03,8.0E+03,1.6E+04,3.1E+04,6.1E+04,1.2E+05,2.3E+05,4.4E+05,8.6E+05,1.6E+06,3.2E+06,6.1E+06,1.2E+07,2.2E+07,4.3E+07,8.1E+07,1.5E+08,2.9E+08,5.6E+08,1.1E+09,2.0E+09,3.8E+09,7.2E+09,1.4E+10,2.6E+10,4.9E+10,9.2E+10,1.7E+11,3.3E+11,6.2E+11,1.2E+12,2.2E+12,4.1E+12,7.8E+12,1.5E+13,2.7E+13,5.1E+13,9.6E+13,1.8E+14,3.4E+14,6.4E+14,1.2E+15,2.2E+15,4.2E+15,7.8E+15,1.5E+16,2.7E+16,5.1E+16,9.6E+16,1.8E+17,3.4E+17,6.3E+17,1.2E+18,2.2E+18,4.1E+18,7.6E+18,1.4E+19,2.7E+19,4.9E+19,9.2E+19,1.7E+20,3.2E+20,6.0E+20,1.1E+21,2.1E+21,3.9E+21,7.2E+21,1.3E+22,2.5E+22,4.7E+22,8.7E+22,1.6E+23,3.0E+23,5.6E+23,1.0E+24,1.9E+24,3.6E+24,6.7E+24,1.2E+25,2.3E+25,4.3E+25,8.0E+25,1.5E+26,2.8E+26,5.1E+26,9.5E+26,1.8E+27,3.3E+27,6.1E+27,1.1E+28,2.1E+28,3.9E+28,7.3E+28,1.4E+29,2.5E+29,4.7E+29,8.7E+29,1.6E+30,3.0E+30,5.5E+30,1.0E+31,1.9E+31,3.5E+31,6.6E+31,1.2E+32,2.3E+32,4.2E+32,7.8E+32,1.4E+33
2,2.0E+00,5.0E+00,1.4E+01,3.7E+01,8.9E+01,2.1E+02,4.8E+02,1.1E+03,2.3E+03,5.0E+03,1.1E+04,2.3E+04,4.7E+04,9.8E+04,2.0E+05,4.1E+05,8.4E+05,1.7E+06,3.4E+06,6.9E+06,1.4E+07,2.8E+07,5.5E+07,1.1E+08,2.1E+08,4.2E+08,8.3E+08,1.6E+09,3.2E+09,6.3E+09,1.2E+10,2.4E+10,4.6E+10,9.0E+10,1.7E+11,3.4E+11,6.5E+11,1.3E+12,2.4E+12,4.7E+12,9.0E+12,1.7E+13,3.3E+13,6.4E+13,1.2E+14,2.3E+14,4.5E+14,8.6E+14,1.6E+15,3.1E+15,6.0E+15,1.1E+16,2.2E+16,4.2E+16,7.9E+16,1.5E+17,2.9E+17,5.4E+17,1.0E+18,2.0E+18,3.7E+18,7.1E+18,1.3E+19,2.5E+19,4.8E+19,9.1E+19,1.7E+20,3.3E+20,6.2E+20,1.2E+21,2.2E+21,4.2E+21,7.9E+21,1.5E+22,2.8E+22,5.3E+22,1.0E+23,1.9E+23,3.5E+23,6.7E+23,1.3E+24,2.4E+24,4.4E+24,8.4E+24,1.6E+25,3.0E+25,5.6E+25,1.0E+26,2.0E+26,3.7E+26,7.0E+26,1.3E+27,2.5E+27,4.6E+27,8.6E+27,1.6E+28,3.0E+28,5.7E+28,1.1E+29,2.0E+29,3.8E+29,7.1E+29,1.3E+30,2.5E+30,4.6E+30,8.7E+30,1.6E+31,3.1E+31,5.7E+31,1.1E+32,2.0E+32,3.8E+32,7.0E+32,1.3E+33,2.5E+33,4.6E+33,8.6E+33,1.6E+34,3.0E+34,5.6E+34
3,4.0E+00,1.2E+01,3.7E+01,1.1E+02,2.8E+02,7.0E+02,1.7E+03,4.0E+03,9.3E+03,2.1E+04,4.8E+04,1.1E+05,2.3E+05,5.0E+05,1.1E+06,2.3E+06,4.8E+06,1.0E+07,2.1E+07,4.4E+07,9.1E+07,1.9E+08,3.8E+08,7.8E+08,1.6E+09,3.2E+09,6.5E+09,1.3E+10,2.6E+10,5.3E+10,1.1E+11,2.1E+11,4.2E+11,8.3E+11,1.7E+12,3.3E+12,6.5E+12,1.3E+13,2.5E+13,4.9E+13,9.7E+13,1.9E+14,3.7E+14,7.3E+14,1.4E+15,2.8E+15,5.4E+15,1.0E+16,2.0E+16,4.0E+16,7.7E+16,1.5E+17,2.9E+17,5.6E+17,1.1E+18,2.1E+18,4.0E+18,7.8E+18,1.5E+19,2.9E+19,5.5E+19,1.1E+20,2.0E+20,3.9E+20,7.5E+20,1.4E+21,2.8E+21,5.3E+21,1.0E+22,1.9E+22,3.7E+22,7.1E+22,1.4E+23,2.6E+23,5.0E+23,9.5E+23,1.8E+24,3.4E+24,6.6E+24,1.3E+25,2.4E+25,4.5E+25,8.6E+25,1.6E+26,3.1E+26,5.9E+26,1.1E+27,2.1E+27,4.1E+27,7.7E+27,1.5E+28,2.8E+28,5.3E+28,1.0E+29,1.9E+29,3.6E+29,6.8E+29,1.3E+30,2.4E+30,4.6E+30,8.7E+30,1.6E+31,3.1E+31,5.9E+31,1.1E+32,2.1E+32,4.0E+32,7.5E+32,1.4E+33,2.7E+33,5.1E+33,9.5E+33,1.8E+34,3.4E+34,6.4E+34,1.2E+35,2.3E+35,4.3E+35,8.1E+35,1.5E+36
4,7.0E+00,2.6E+01,8.9E+01,2.8E+02,7.8E+02,2.1E+03,5.5E+03,1.4E+04,3.3E+04,8.0E+04,1.9E+05,4.3E+05,9.9E+05,2.2E+06,4.9E+06,1.1E+07,2.4E+07,5.2E+07,1.1E+08,2.4E+08,5.1E+08,1.1E+09,2.3E+09,4.8E+09,9.9E+09,2.1E+10,4.3E+10,8.8E+10,1.8E+11,3.7E+11,7.6E+11,1.6E+12,3.2E+12,6.4E+12,1.3E+13,2.6E+13,5.3E+13,1.1E+14,2.1E+14,4.2E+14,8.5E+14,1.7E+15,3.4E+15,6.7E+15,1.3E+16,2.6E+16,5.2E+16,1.0E+17,2.0E+17,4.0E+17,7.9E+17,1.6E+18,3.1E+18,6.0E+18,1.2E+19,2.3E+19,4.5E+19,8.9E+19,1.7E+20,3.4E+20,6.6E+20,1.3E+21,2.5E+21,4.9E+21,9.5E+21,1.8E+22,3.6E+22,6.9E+22,1.3E+23,2.6E+23,5.0E+23,9.7E+23,1.9E+24,3.6E+24,7.0E+24,1.4E+25,2.6E+25,5.0E+25,9.7E+25,1.9E+26,3.6E+26,6.9E+26,1.3E+27,2.5E+27,4.9E+27,9.4E+27,1.8E+28,3.5E+28,6.6E+28,1.3E+29,2.4E+29,4.6E+29,8.9E+29,1.7E+30,3.3E+30,6.2E+30,1.2E+31,2.3E+31,4.3E+31,8.3E+31,1.6E+32,3.0E+32,5.7E+32,1.1E+33,2.1E+33,4.0E+33,7.6E+33,1.4E+34,2.7E+34,5.2E+34,9.9E+34,1.9E+35,3.6E+35,6.8E+35,1.3E+36,2.5E+36,4.7E+36,8.9E+36,1.7E+37,3.2E+37
5,1.3E+01,5.6E+01,2.1E+02,7.0E+02,2.1E+03,6.0E+03,1.6E+04,4.3E+04,1.1E+05,2.8E+05,6.8E+05,1.6E+06,3.8E+06,9.0E+06,2.1E+07,4.7E+07,1.1E+08,2.4E+08,5.3E+08,1.2E+09,2.5E+09,5.5E+09,1.2E+10,2.6E+10,5.5E+10,1.2E+11,2.5E+11,5.2E+11,1.1E+12,2.3E+12,4.8E+12,1.0E+13,2.1E+13,4.3E+13,8.8E+13,1.8E+14,3.7E+14,7.6E+14,1.6E+15,3.2E+15,6.4E+15,1.3E+16,2.6E+16,5.3E+16,1.1E+17,2.2E+17,4.4E+17,8.8E+17,1.8E+18,3.5E+18,7.0E+18,1.4E+19,2.8E+19,5.6E+19,1.1E+20,2.2E+20,4.4E+20,8.6E+20,1.7E+21,3.4E+21,6.7E+21,1.3E+22,2.6E+22,5.1E+22,1.0E+23,2.0E+23,3.9E+23,7.6E+23,1.5E+24,2.9E+24,5.7E+24,1.1E+25,2.2E+25,4.3E+25,8.3E+25,1.6E+26,3.2E+26,6.1E+26,1.2E+27,2.3E+27,4.5E+27,8.8E+27,1.7E+28,3.3E+28,6.4E+28,1.2E+29,2.4E+29,4.7E+29,9.0E+29,1.7E+30,3.4E+30,6.5E+30,1.3E+31,2.4E+31,4.7E+31,9.0E+31,1.7E+32,3.3E+32,6.4E+32,1.2E+33,2.4E+33,4.6E+33,8.8E+33,1.7E+34,3.3E+34,6.3E+34,1.2E+35,2.3E+35,4.4E+35,8.5E+35,1.6E+36,3.1E+36,6.0E+36,1.1E+37,2.2E+37,4.2E+37,8.0E+37,1.5E+38,2.9E+38,5.6E+38
6,2.4E+01,1.2E+02,4.8E+02,1.7E+03,5.5E+03,1.6E+04,4.7E+04,1.3E+05,3.5E+05,9.0E+05,2.3E+06,5.7E+06,1.4E+07,3.4E+07,8.0E+07,1.9E+08,4.4E+08,1.0E+09,2.3E+09,5.2E+09,1.2E+10,2.6E+10,5.7E+10,1.3E+11,2.8E+11,6.0E+11,1.3E+12,2.8E+12,6.0E+12,1.3E+13,2.7E+13,5.8E+13,1.2E+14,2.6E+14,5.4E+14,1.1E+15,2.4E+15,4.9E+15,1.0E+16,2.1E+16,4.4E+16,9.0E+16,1.8E+17,3.8E+17,7.8E+17,1.6E+18,3.2E+18,6.6E+18,1.3E+19,2.7E+19,5.5E+19,1.1E+20,2.2E+20,4.5E+20,9.1E+20,1.8E+21,3.7E+21,7.4E+21,1.5E+22,3.0E+22,5.9E+22,1.2E+23,2.4E+23,4.7E+23,9.3E+23,1.9E+24,3.7E+24,7.3E+24,1.4E+25,2.9E+25,5.7E+25,1.1E+26,2.2E+26,4.4E+26,8.6E+26,1.7E+27,3.3E+27,6.6E+27,1.3E+28,2.5E+28,5.0E+28,9.7E+28,1.9E+29,3.7E+29,7.3E+29,1.4E+30,2.8E+30,5.5E+30,1.1E+31,2.1E+31,4.0E+31,7.9E+31,1.5E+32,3.0E+32,5.8E+32,1.1E+33,2.2E+33,4.3E+33,8.3E+33,1.6E+34,3.1E+34,6.0E+34,1.2E+35,2.3E+35,4.4E+35,8.5E+35,1.6E+36,3.2E+36,6.1E+36,1.2E+37,2.3E+37,4.4E+37,8.5E+37,1.6E+38,3.2E+38,6.1E+38,1.2E+39,2.3E+39,4.4E+39,8.4E+39
7,4.4E+01,2.4E+02,1.1E+03,4.0E+03,1.4E+04,4.3E+04,1.3E+05,3.8E+05,1.0E+06,2.8E+06,7.4E+06,1.9E+07,4.8E+07,1.2E+08,2.9E+08,7.0E+08,1.7E+09,4.0E+09,9.3E+09,2.2E+10,4.9E+10,1.1E+11,2.5E+11,5.7E+11,1.3E+12,2.8E+12,6.3E+12,1.4E+13,3.0E+13,6.6E+13,1.4E+14,3.1E+14,6.6E+14,1.4E+15,3.0E+15,6.4E+15,1.4E+16,2.9E+16,6.1E+16,1.3E+17,2.7E+17,5.6E+17,1.2E+18,2.4E+18,5.1E+18,1.1E+19,2.2E+19,4.5E+19,9.3E+19,1.9E+20,3.9E+20,8.0E+20,1.6E+21,3.3E+21,6.8E+21,1.4E+22,2.8E+22,5.7E+22,1.2E+23,2.3E+23,4.7E+23,9.6E+23,1.9E+24,3.9E+24,7.8E+24,1.6E+25,3.2E+25,6.3E+25,1.3E+26,2.5E+26,5.1E+26,1.0E+27,2.0E+27,4.0E+27,8.0E+27,1.6E+28,3.2E+28,6.3E+28,1.2E+29,2.5E+29,4.9E+29,9.6E+29,1.9E+30,3.8E+30,7.4E+30,1.5E+31,2.9E+31,5.7E+31,1.1E+32,2.2E+32,4.3E+32,8.5E+32,1.7E+33,3.3E+33,6.4E+33,1.3E+34,2.5E+34,4.8E+34,9.5E+34,1.9E+35,3.6E+35,7.1E+35,1.4E+36,2.7E+36,5.3E+36,1.0E+37,2.0E+37,3.9E+37,7.6E+37,1.5E+38,2.9E+38,5.6E+38,1.1E+39,2.1E+39,4.1E+39,7.9E+39,1.5E+40,3.0E+40,5.8E+40,1.1E+41
8,8.1E+01,5.0E+02,2.3E+03,9.3E+03,3.3E+04,1.1E+05,3.5E+05,1.0E+06,3.0E+06,8.4E+06,2.3E+07,6.1E+07,1.6E+08,4.0E+08,1.0E+09,2.5E+09,6.2E+09,1.5E+10,3.6E+10,8.5E+10,2.0E+11,4.6E+11,1.1E+12,2.5E+12,5.6E+12,1.3E+13,2.9E+13,6.4E+13,1.4E+14,3.2E+14,7.0E+14,1.5E+15,3.3E+15,7.3E+15,1.6E+16,3.4E+16,7.4E+16,1.6E+17,3.4E+17,7.2E+17,1.5E+18,3.3E+18,6.9E+18,1.5E+19,3.1E+19,6.5E+19,1.4E+20,2.8E+20,5.9E+20,1.2E+21,2.6E+21,5.3E+21,1.1E+22,2.3E+22,4.7E+22,9.6E+22,2.0E+23,4.1E+23,8.3E+23,1.7E+24,3.5E+24,7.1E+24,1.5E+25,3.0E+25,6.0E+25,1.2E+26,2.5E+26,5.0E+26,1.0E+27,2.0E+27,4.1E+27,8.3E+27,1.7E+28,3.4E+28,6.8E+28,1.4E+29,2.7E+29,5.5E+29,1.1E+30,2.2E+30,4.4E+30,8.7E+30,1.7E+31,3.5E+31,6.9E+31,1.4E+32,2.7E+32,5.4E+32,1.1E+33,2.1E+33,4.2E+33,8.4E+33,1.7E+34,3.3E+34,6.5E+34,1.3E+35,2.5E+35,5.0E+35,9.8E+35,1.9E+36,3.8E+36,7.5E+36,1.5E+37,2.9E+37,5.7E+37,1.1E+38,2.2E+38,4.3E+38,8.5E+38,1.7E+39,3.2E+39,6.4E+39,1.2E+40,2.4E+40,4.8E+40,9.3E+40,1.8E+41,3.5E+41,6.9E+41,1.3E+42
9,1.5E+02,1.0E+03,5.0E+03,2.1E+04,8.0E+04,2.8E+05,9.0E+05,2.8E+06,8.4E+06,2.4E+07,6.8E+07,1.9E+08,5.0E+08,1.3E+09,3.4E+09,8.6E+09,2.2E+10,5.3E+10,1.3E+11,3.2E+11,7.6E+11,1.8E+12,4.3E+12,1.0E+13,2.3E+13,5.4E+13,1.2E+14,2.8E+14,6.4E+14,1.4E+15,3.2E+15,7.2E+15,1.6E+16,3.5E+16,7.8E+16,1.7E+17,3.7E+17,8.2E+17,1.8E+18,3.8E+18,8.3E+18,1.8E+19,3.8E+19,8.2E+19,1.7E+20,3.7E+20,7.9E+20,1.7E+21,3.5E+21,7.4E+21,1.6E+22,3.3E+22,6.9E+22,1.4E+23,3.0E+23,6.2E+23,1.3E+24,2.7E+24,5.6E+24,1.2E+25,2.4E+25,4.9E+25,1.0E+26,2.1E+26,4.3E+26,8.8E+26,1.8E+27,3.7E+27,7.5E+27,1.5E+28,3.1E+28,6.3E+28,1.3E+29,2.6E+29,5.3E+29,1.1E+30,2.2E+30,4.4E+30,8.9E+30,1.8E+31,3.6E+31,7.3E+31,1.5E+32,2.9E+32,5.9E+32,1.2E+33,2.4E+33,4.7E+33,9.5E+33,1.9E+34,3.8E+34,7.6E+34,1.5E+35,3.0E+35,6.0E+35,1.2E+36,2.4E+36,4.7E+36,9.4E+36,1.9E+37,3.7E+37,7.3E+37,1.4E+38,2.9E+38,5.7E+38,1.1E+39,2.2E+39,4.4E+39,8.7E+39,1.7E+40,3.4E+40,6.6E+40,1.3E+41,2.6E+41,5.1E+41,1.0E+42,2.0E+42,3.8E+42,7.5E+42,1.5E+43
